isbn13,isbn10,title,author,publisher,description
9780316565103,,THE FIRST GENTLEMAN,Bill Clinton and James Patterson,"Little, Brown and Knopf","When President Wright’s husband goes on trial for murder, a pair of journalists search for answers."
9781668006399,,THE RIVER IS WAITING,Wally Lamb,Marysue Rucci,"A man struggling in several areas of his life is sentenced to prison, where he encounters acts of kindness and brutality."
9781982191733,,THE STOLEN LIFE OF COLETTE MARCEAU,Kristin Harmel,Gallery,"When a diamond bracelet that disappeared during World War II becomes part of a museum exhibition, a jewel thief confronts her past."
9780316588485,,NIGHTSHADE,Michael Connelly,"Little, Brown","The Los Angeles County sheriff's detective Stilwell gets reassigned to Catalina Island, where he investigates a poaching case and a Jane Doe found in the harbor."
9780316582704,,THE KNIGHT AND THE MOTH,Rachel Gillig,Orbit,"Sybil Delling, who is gifted with the power of foresight, forms an alliance with a heretical knight when her sister Diviners disappear."
9780593472408,,WITH A VENGEANCE,Riley Sager,Dutton,The murder of a passenger on a luxury train disrupts Anna Matheson’s plan to get retribution for her family’s downfall.
9780593831878,,THE EMPEROR OF GLADNESS,Ocean Vuong,Penguin Press,A young man becomes the caretaker of an elderly widow and they form a bond over the course of a year.
9780385546027,,THE JUDGE'S LIST,John Grisham,Doubleday,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.
9780735222359,,THE LINCOLN HIGHWAY,Amor Towles,Viking,Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.
9781538728628,,THE WISH,Nicholas Sparks,Grand Central,"Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas."
9781982173678,,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,"Simon & Schuster, St. Martin's","In the wake of the previous administration’s mishandling of international affairs, the new Secretary of State Ellen Adams confronts interconnected global threats."
9781982168438,,CLOUD CUCKOO LAND,Anthony Doerr,Scribner,"An interconnected cast of dreamers and outsiders are in dangerous and disparate settings past, present and future."
9781984818812,,DEAR SANTA,Debbie Macomber,Ballantine,"A special letter to Santa brings about hope, love and second chances for Lindy Carmichael."
9781250220257,,APPLES NEVER FALL,Liane Moriarty,Holt,The Delaney siblings suspect their father of causing the disappearance of their mother.
9780812989434,,OH WILLIAM!,Elizabeth Strout,Random House,Lucy Barton joins her ex-husband on a trip to look into a family secret.
9780593490594,,SILVERVIEW,John Le Carré,Viking,A London spy chief’s investigation brings him to a quiet seaside town where Julian Lawndsley has relocated and opened a bookstore.
9781982173616,,BILLY SUMMERS,Stephen King,Scribner,A killer for hire who only takes out bad guys seeks redemption as he does one final job.
9780374181178,,CROSSROADS,Jonathan Franzen,"Farrar, Straus & Giroux",Members of a Midwestern family find themselves at a pivotal moment of moral crisis in 1971.
9780385545136,,HARLEM SHUFFLE,Colson Whitehead,Doubleday,"Ray Carney, a family man who sells furniture on 125th Street, gets a new clientele made up of vicious and unsavory characters."
9781984821522,,THE BUTLER,Danielle Steel,Delacorte,The working relationship between a man and woman from different worlds develops into something new for them.
9780593441275,,HAPPY PLACE,Emily Henry,Berkley,A former couple pretend to be together for the sake of their friends during their annual getaway in Maine.
9780316404594,,CROSS DOWN,James Patterson and Brendan DuBois,"Little, Brown",John Sampson seeks justice after Alex Cross gets injured.
9780802162175,,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.
9781982117085,,LADY TAN'S CIRCLE OF WOMEN,Lisa See,Scribner,Tan Yunxian learns the pillars of Chinese medicine from her grandmother but is sent into an arranged marriage and pressured by her mother-in-law.
9781250284112,,IDENTITY,Nora Roberts,St. Martin's,"After her roommate is killed by a con artist, a former Army brat builds a new life at her mother's home in Vermont."
9781982191702,,THE PARIS DAUGHTER,Kristin Harmel,Gallery,"When a woman becomes a target of the German occupation in Paris, she leaves her young daughter with her friend."
9780593543931,,CLIVE CUSSLER: FIRE STRIKE,Mike Maden,Putnam,The 17th book in the Oregon Files series. Juan Cabrillo’s crew takes on a force of bio-hacked soldiers.
9781538750636,,SIMPLY LIES,David Baldacci,Grand Central,A former detective becomes the prime suspect in a murder case involving a man with mob ties who was in witness protection.
9781250831910,,ALL THE SINNERS BLEED,S.A. Cosby,Flatiron,"Titus Crown, a former F.B.I. agent who becomes Charon County’s first Black sheriff, tracks a serial killer and contends with a far-right group."
9780593331347,,THREE-INCH TEETH,C.J. Box,Putnam,The 24th book in the Joe Pickett series. A man released from prison uses grizzly bear attacks to cover his acts of revenge.
9780593599839,,A FATE INKED IN BLOOD,Danielle L. Jensen,Del Rey,"After the secret of her magic to repel attacks is revealed, Freya encounters dangerous tests by the gods."
9780593422946,,THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.
9780593318256,,WANDERING STARS,Tommy Orange,Knopf,"In a follow-up to “There There,” generations of a family are tormented by a man who seeks to eradicate Native history, culture and identity."
9781635574104,,HOUSE OF FLAME AND SHADOW,Sarah J. Maas,Bloomsbury,The third book in the Crescent City series. Bryce wants to return home while Hunt is trapped in Asteri's dungeons.
9780593492918,,FIRST LIE WINS,Ashley Elston,Pamela Dorman,A woman who works for a mysterious boss takes on a new identity to dig up information on someone.
9780593229804,,AFTER ANNIE,Anna Quindlen,Random House,"When Annie Brown suddenly dies, her family and closest friend piece their lives back together and carry her memory forward."
9781250334206,,GOTHIKANA,RuNyx,Bramble,A century-old mystery brings Corvina Clemm and Vad Deverell together at a university based in a castle at the top of a mountain with a dark history.
9780316403382,,CROSSHAIRS,James Patterson and James O. Born,"Little, Brown",The 16th book in the Michael Bennett series. Bennett teams up with a sniper.
9780062653314,,HEAT 2,Michael Mann and Meg Gardiner,Morrow/Michael Mann,New adversaries confront returning characters in situations set before and after the events of the film “Heat.”
9781982178895,,THE FAMILY REMAINS,Lisa Jewell,Atria,"Mysteries involving a decades-old cold case, a murder in France and a woman’s return to London are connected."
9780062834850,,PORTRAIT OF AN UNKNOWN WOMAN,Daniel Silva,Harper,The 22nd book in the Gabriel Allon series. Allon becomes an art forger to uncover a multibillion-dollar fraud.
9781982155261,,THE IT GIRL,Ruth Ware,Scout,"A decade after her first year at Oxford, an expectant mother looks into the mystery of her former best friend’s death."
9780063252349,,WRONG PLACE WRONG TIME,Gillian McAllister,Morrow,A mother who witnesses her son murder a stranger finds her days are going in reverse and seeks to use that to alter events.
9780316499484,,SHATTERED,James Patterson and James O. Born,"Little, Brown","The 14th book in the Michael Bennett series. When an F.B.I. abduction specialist disappears, Bennett goes outside his jurisdiction."
9780593538814,,THE LAST WHITE MAN,Mohsin Hamid,Riverhead,Anders is one of many people who wake up with a different appearance and skin color.
9780374602604,,"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,"Farrar, Straus & Giroux","A novelist, a warehouse worker, an editorial assistant and a political adviser deal with changes."
9781250272812,,FORGOTTEN IN DEATH,J.D. Robb,St. Martin's,The 53rd book of the In Death series. The property where a decades-old crime occurred belongs to the homicide detective Eve Dallas’s husband.
9780735211230,,A SLOW FIRE BURNING,Paula Hawkins,Riverhead,Three women come under scrutiny when a young man is found gruesomely murdered in a London houseboat.
9781594634499,,MATRIX,Lauren Groff,Riverhead,Seventeen-year-old Marie de France is cast out of the royal court and sent to England to be the new prioress of an impoverished abbey.
9781250266101,,ROCK PAPER SCISSORS,Alice Feeney,Flatiron,A couple celebrating an anniversary take a trip to Scotland that will make or break their marriage.
9781250145260,,THE MADNESS OF CROWDS,Louise Penny,Minotaur,The 17th book in the Chief Inspector Gamache series. Gamache is tasked with providing security for a statistics professor whose views are repulsive to him.
9781982137366,,THE NIGHT SHE DISAPPEARED,Lisa Jewell,Atria,A writer discovers a possible clue near an English country estate of what caused a young couple to go missing.
9780316499873,,THE NOISE,James Patterson and J.D. Barker,"Little, Brown",A strange vibration rises out of a forest near Mount Hood.
9780593329825,,THE PAPER PALACE,Miranda Cowley Heller,Riverhead,"After an extramarital dalliance, Elle must choose between her husband and her childhood love."
9781250802569,,L.A. WEATHER,María Amparo Escandón,Flatiron,"Kelia decides to end her marriage to her weather-obsessed husband, Oscar, and their three daughters are caught off guard."
9781250204479,,THE HERON'S CRY,Ann Cleeves,Minotaur,The second book in the Two Rivers series. Detective Matthew Venn finds a staged murder at the home of a group of artists.
9780385548953,,THE EXCHANGE,John Grisham,Doubleday,"In a sequel to “The Firm,” Mitch McDeere, who is now a partner at the world’s largest law firm, gets caught up in a sinister plot."
9780062406651,,THE LITTLE LIAR,Mitch Albom,Harper,"The actions of an 11-year-old boy help facilitate the delivery of Jewish residents, including his family, to Auschwitz."
9781668016138,,HOLLY,Stephen King,Scribner,The private detective Holly Gibney investigates whether a married pair of octogenarian academics had anything to do with Bonnie Dahl’s disappearance.
9780063327528,,TOM LAKE,Ann Patchett,Harper,"Three daughters, who return to their family orchard in the spring of 2020, learn about their mother’s relationship with a famous actor."
9780316402484,,ALEX CROSS MUST DIE,James Patterson,"Little, Brown","The 32nd book in the Alex Cross series. When a jet is gunned down, Cross goes back into action."
9781538719916,,THE EDGE,David Baldacci,Grand Central,The second book in the 6:20 Man series. Travis Devine investigates the murder of the C.I.A. operative Jenny Silkwell in rural Maine.
9780316563765,,RESURRECTION WALK,Michael Connelly,"Little, Brown",The seventh book in the Lincoln Lawyer series. Haller and Bosch team up to prove the innocence of a woman in prison for killing her husband.
9781984818584,,THE SECRET,Lee Child and Andrew Child,Delacorte,The 28th book in the Jack Reacher series. It’s 1992 and Reacher looks into the cause of a string of mysterious deaths.
9780316276627,,THE JAILHOUSE LAWYER,James Patterson and Nancy Allen,"Little, Brown",A young lawyer winds up in an Alabama jail that remains mysteriously crowded.
9781250217349,,UNDER THE WHISPERING DOOR,TJ Klune,Tor,"When given seven days to cross over, Wallace tries to pack in a lifetime’s worth of living in that week."
9781982164881,,VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills,Emily Bestler/Atria,"Anthony Cook, an autocratic president, distrusts Mitch Rapp, who is working to uncover a traitor."
9780393881141,,BEWILDERMENT,Richard Powers,Norton,An astrobiologist and single father learns of a neurofeedback treatment that may improve his son’s emotional control.
9780593297254,,DAUGHTER OF THE MORNING STAR,Craig Johnson,Viking,The 17th book in the Longmire Mystery series. A player on the Lame Deer Lady Stars High School basketball team receives threats.
9781538728529,,EVERY BREATH,Nicholas Sparks,Grand Central,Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town.
9780062294449,,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,Harper,"The sequel to ""The Five People You Meet in Heaven"" follows Annie on her heavenly journey."
9780062684561,,UNSHELTERED,Barbara Kingsolver,Harper,"Intertwined stories of two families who live in different centuries on the same street corner in Vineland, N.J."
9780345544988,,A SPARK OF LIGHT,Jodi Picoult,Ballantine,"The lives of patients, doctors and activists intersect when a gunman holds them all hostage in a woman's health center in Mississippi."
9780316273985,,AMBUSH,James Patterson and James O. Born,"Little, Brown",Michael Bennett discovers that an assassin is targeting him and his family.
9780735217324,,HOLY GHOST,John Sandford,Putnam,Virgil Flowers investigates shootings in a Minnesota town following an attempt to revive its ailing economy.
9780735224629,,THE WITCH ELM,Tana French,Viking,"After Toby Hennessy retreats to his family’s ancestral home, a skull discovered in the backyard exposes his family's past."
9781501190599,,VINCE FLYNN: RED WAR,Kyle Mills,Emily Bestler/Atria,"When the Russian prime minister plots to invade the Baltics, only Mitch Rapp can stop him."
9780316435512,,WINTER IN PARADISE,Elin Hilderbrand,"Little, Brown",Irene Steele uncovers her husband’s secret life on a Caribbean island following his death.
9781501170010,,WHEN WE WERE YOUNG,Karen Kingsbury,Howard,The reality of Noah and Emily Carter’s marriage is different from the one curated for their social media followers.
9781451649390,,THE CLOCKMAKER'S DAUGHTER,Kate Morton,Atria,A century-old mystery at the Birchwood Manor on the Thames connects the lives of an archivist and artist.
9780735219229,,DESPERATE MEASURES,Stuart Woods,Putnam,The 47th book in the Stone Barrington series.
9780399181283,,ALASKAN HOLIDAY,Debbie Macomber,Ballantine,"A Seattleite cook stuck in remote Ponder, Alaska, grapples with her feelings for the local swordsmith."
9780525520047,,KILLING COMMENDATORE,Haruki Murakami,Knopf,The discovery of an unseen work in an artist’s attic unleashes a series of bizarre occurrences that a painter must navigate.
9781982139131,,LIFE AFTER DEATH,Sister Souljah,Atria/Emily Bestler,"In a sequel to “The Coldest Winter Ever,” Winter Santiaga emerges after time served and seeks revenge."
9780525538271,,DARK SKY,C.J. Box,Putnam,The 21st book in the Joe Pickett series. The Wyoming game warden becomes a target when taking a tech baron on an elk hunting trip.
9781250759665,,WE BEGIN AT THE END,Chris Whitaker,Holt,Trouble might start for the chief of police and a self-proclaimed outlaw teenager when a man is released from prison.
9780440001584,,WILD SIGN,Patricia Briggs,Ace,The sixth book in the Alpha and Omega series. Mated werewolves Charles Cornick and Anna Latham look into what might have caused everyone living in a small town to disappear.
9780593327869,,FAST ICE,Clive Cussler and Graham Brown,Putnam,The 18th book in the NUMA Files series. Kurt Austin and Joe Zavala uncover a decades-old conspiracy when they search for a missing former colleague in Antarctica.
9781681196282,,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,The fifth book in A Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.
9781984821409,,THE AFFAIR,Danielle Steel,Delacorte,A French author's extramarital relationship affects various members of his wife’s family.
9780593441282,,FUNNY STORY,Emily Henry,Berkley,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos."
9781538756317,,THINK TWICE,Harlan Coben,Grand Central,"The 12th book in the Myron Bolitar series. Myron’s client, whom he eulogized three years ago, might still be alive and is the main suspect in a double homicide."
9781668017722,,THE PARADISE PROBLEM,Christina Lauren,Gallery,"A large inheritance forces an unlikely couple, who married each other to attain subsidized housing when they were in college, back together."
9798212182843,,HOME IS WHERE THE BODIES ARE,Jeneva Rose,Blackstone,Three estranged siblings find evidence of a dark secret involving their absent father and recently deceased mother.
9780316403085,,THE 24TH HOUR,James Patterson and Maxine Paetro,"Little, Brown",The 24th book in the Women’s Murder Club series. A high-society killer could spell trouble for members of the club.
9781649376909,,FIVE BROKEN BLADES,Mai Corland,Red Tower,Five dangerous liars must trust one another enough to kill the God King Joon.
9781476785110,,LONG ISLAND,Colm Tóibín,Scribner,"In 1976, an Irish woman who lives surrounded by her husband’s Italian American family is told he impregnated another woman."
9781538765029,,A CALAMITY OF SOULS,David Baldacci,Grand Central,Lawyers from different backgrounds represent a Black man charged with killing a wealthy white couple in Virginia in 1968.
9780593296370,,TABLE FOR TWO,Amor Towles,Viking,A collection of six short stories based in New York City around the year 2000 and a novella set during the Golden Age of Hollywood.
9781250278388,,SUMMERS AT THE SAINT,Mary Kay Andrews,St. Martin's,"Traci Eddings, the widowed owner of a faded landmark hotel on the coast of Georgia, has one summer to return it to its past glory."
9781250884251,,THE FAMILIAR,Leigh Bardugo,Flatiron,Luzia Cotado encounters dangers when her magic draws the attention of the disgraced secretary to Spain's king.
9780765317704,,EXTINCTION,Douglas Preston,Forge,"A Colorado Bureau of Investigation agent and a county sheriff look into misdeeds involving kidnapping, murder and genetic manipulation."
9780812996302,,THE PARIS NOVEL,Ruth Reichl,Random House,"Stella is encouraged to throw caution to the wind and meets someone who introduces her to the literary, art and culinary worlds of Paris."
9780593714492,,TOXIC PREY,John Sandford,Putnam,The 34th book in the Prey series. Letty and Lucas must find an expert on tropical and infectious diseases before a virus becomes weaponized.
9780063344785,,LOST BIRDS,Anne Hillerman,Harper,"The ninth book in the Leaphorn, Chee & Manuelito series. The detectives investigate cases that involve the adoption of Indigenous children by non-Native parents and the killing of prize-winning sheep."
9780399593543,,BLUE MOON,Lee Child,Delacorte,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.
9780385544184,,THE GUARDIANS,John Grisham,Doubleday,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
9780316485616,,THE NIGHT FIRE,Michael Connelly,"Little, Brown",Harry Bosch and Renée Ballard return to take up a case that held the attention of Bosch’s mentor.
9780374155018,,FIND ME,André Aciman,"Farrar, Straus & Giroux","Years after the events of “Call Me by Your Name,” Elio has become a classically trained pianist in Paris while Oliver is a New England college professor with a family."
9780399562488,,THE GIVER OF STARS,Jojo Moyes,Pamela Dorman/Viking,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
9781984822130,,THE LOST CAUSES OF BLEAK CREEK,Rhett McLaughlin and Link Neal with Lance Rubin,Crown,Two high school freshmen dig into the dark underpinnings of their hometown and a local reform school in North Carolina.
9780316420273,,THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,"Little, Brown","In the 19th installment of the Women's Murder Club series, detective Lindsay Boxer and company take on a fearsome criminal known only as ""Loman."""
9781501101755,,THE DESERTER,Nelson DeMille and Alex DeMille,Simon & Schuster,Two members of the Criminal Investigation Division must bring back a Delta Force soldier who disappeared.
9781250313072,,NINTH HOUSE,Leigh Bardugo,Flatiron,"After mysteriously surviving a multiple homicide, Galaxy Stern comes face to face with dark magic, murder and more at Yale University."
9780812996548,,"OLIVE, AGAIN",Elizabeth Strout,Random House,"In a follow-up to the Pulitzer Prize-winning novel “Olive Kitteridge,” new relationships, including a second marriage, are encountered in a seaside town in Maine."
9781250280800,,WEYWARD,Emilia Hart,St. Martin's,The stories of three women living in three different eras.
9780593598603,,STAR WARS JEDI: BATTLE SCARS,Sam Maggs,Random House Worlds,Aiding an Imperial deserter could put Cal Kestis and his crew in the path of the Inquisitor known as the Fifth Brother.
9780399179228,,LOOK ALIVE TWENTY-FIVE,Janet Evanovich,Putnam,The 25th book in the Stephanie Plum series.
9781538761571,,LONG ROAD TO MERCY,David Baldacci,Grand Central,The F.B.I. agent Atlee Pine must choose between protecting her career or the United States' democracy.
9780399593512,,PAST TENSE,Lee Child,Delacorte,Jack Reacher explores the New England town where his father was born.
9781250069825,,NINE PERFECT STRANGERS,Liane Moriarty,Flatiron,A romance writer becomes fascinated by the owner and director of a health resort.
9780316484800,,DARK SACRED NIGHT,Michael Connelly,"Little, Brown","Detective Renée Ballard teams up with the retired detective Harry Bosch, who is working on a cold case."
9781982102319,,ELEVATION,Stephen King,Scribner,A man who is losing weight without getting thinner forms an unlikely alliance with his neighbors who are dealing with prejudices.
9780735219021,,SEA OF GREED,Clive Cussler and Graham Brown,Putnam,The 16th book in the NUMA Files series.
9781501171666,,YOU DON'T OWN ME,Mary Higgins Clark and Alafair Burke,Simon & Schuster,A television producer investigates the murder of a physician and whether it was his wife who killed him.
9781501172052,,THE NOEL STRANGER,Richard Paul Evans,Simon & Schuster,A newly divorced woman develops a friendship with the owner of a Christmas tree lot.
9780593725801,,IN TOO DEEP,Lee Child and Andrew Child,Delacorte,The 29th book in the Jack Reacher series. Reacher wakes up in a precarious position with no memory of how he got there.
9781649374059,,BLOODGUARD,Cecy Robson,Red Tower,An elven royal named Maeve offers the battle-scarred Leith of Grey an opportunity to win the title of Bloodguard.
9780316563796,,THE WAITING,Michael Connelly,"Little, Brown","The sixth book in the Ballard and Bosch series. Bosch’s daughter, Maddie, becomes a new volunteer on the cold case unit."
9780374616595,,ABSOLUTION,Jeff VanderMeer,MCD,The fourth book in the Southern Reach series. The story of the first mission into the Forgotten Coast before it was known as Area X.
9781668009192,,MEMORIALS,Richard Chizmar,Gallery,"In 1983, three college students embark on a road trip for a class assignment and come across disturbing occurrences."
9781250207098,,UNDER CURRENTS,Nora Roberts,St. Martin's,Echoes of a violent childhood reverberate for Zane Bigelow when he starts a new kind of family in North Carolina’s Blue Ridge Mountains.
9780316420013,,SUMMER OF '69,Elin Hilderbrand,"Little, Brown","The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface."
9781594634734,,CITY OF GIRLS,Elizabeth Gilbert,Riverhead,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.
9781982104030,,BACKLASH,Brad Thor,Emily Bestler/Atria,"Cut off from any support, Scot Harvath fights to get his revenge."
9780525655398,,KNIFE,Jo Nesbo,Knopf,"After Rakel kicks him out, Harry Hole begins anew with the Oslo police cold case office to investigate a serial rapist and killer from his past."
9780316531269,,THE CHAIN,Adrian McKinty,"Mulholland/Little, Brown",Rachel Klein is ensnared in a pay-it-forward criminal enterprise involving ransoms and kidnapping.
9780399179471,,LOST AND FOUND,Danielle Steel,Delacorte,A photographer embarks on a road trip to reconnect with three men she might have married.
9780525619246,,EVVIE DRAKE STARTS OVER,Linda Holmes,Ballantine,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts."
9781501133480,,MRS. EVERYTHING,Jennifer Weiner,Atria,The story of two sisters and how the world around them changes drastically from the 1950s.
9780316419826,,UNSOLVED,James Patterson and David Ellis,"Little, Brown",A string of seemingly accidental and unrelated deaths confound F.B.I. Agent Emmy Dockery.
9780062834751,,THE GOLDEN HOUR,Beatriz Williams,Morrow,"In 1941, a society magazine writer turns up unsavory dealings when she investigates the Duke and Duchess of Windsor in the Bahamas."
9780525562023,,ON EARTH WE'RE BRIEFLY GORGEOUS,Ocean Vuong,Penguin Press,"Little Dog writes a letter to a mother who cannot read, revealing a family history."
9781250319470,,WHISPER NETWORK,Chandler Baker,Flatiron,Three close co-workers file a sexual harassment lawsuit against a top C.E.O. candidate at an athletic apparel brand in Dallas.
9781250272720,,THE CHOICE,Nora Roberts,St. Martin's,The third book in the Dragon Heart Legacy series. Breen Siobhan Kelly confronts darkness during her first Christmas in both Talamh and Ireland.
9781984821836,,THE WHITTIERS,Danielle Steel,Delacorte,"After tragedy strikes, six adult children return to the family home without their parents for the first time."
9780593492543,,OUR MISSING HEARTS,Celeste Ng,Penguin Press,"Twelve-year-old Bird Gardner goes on a quest to find his mother, a Chinese American poet whose work he was taught to disavow."
9780063020894,,HOMECOMING,Kate Morton,Mariner,"An unemployed journalist connects events in a true-crime book, which details a long-buried murder in 1959 in South Australia, to her own family."
9780399590948,,ROMANTIC COMEDY,Curtis Sittenfeld,Random House,A late-night show’s sketch writer may become involved with a pop music sensation who is a guest host.
9781501117299,,HANG THE MOON,Jeannette Walls,Scribner,"Nine years after being cast out, a young woman returns to reclaim her place in her family and comes into her own as a bootlegger."
9781250899651,,TRESS OF THE EMERALD SEA,Brandon Sanderson,Tor,Tress stows away on a ship to look for the Sorceress of the Midnight Sea.
9781250229700,,THE SOULMATE,Sally Hepworth,St. Martin's,"The marriage between a couple, who live in a cottage near cliffs where people try to end their lives, begins to crack."
9780316457378,,COUNTDOWN,James Patterson and Brendan DuBois,"Little, Brown",A botched field operation and a terrorist plot endanger Amy Cornwall and her family.
9781668007563,,CAMP ZERO,Michelle Min Sterling,Atria,"At a building project in remote northern Canada, a woman is on a secret mission to monitor the architect in charge."
9780316543033,,ABOVE GROUND,Clint Smith,"Little, Brown",A collection of poems by the author of “How the Word Is Passed.”
9781538757901,,TO DIE FOR,David Baldacci,Grand Central,The third book in the 6:20 Man series. Devine digs into the deaths of an orphan’s parents and uncovers a large conspiracy.
9781250331977,,THE COURTING OF BRISTOL KEATS,Mary E. Pearson,Flatiron,"After a tragedy, Bristol travels to a dangerous world to try to save her father."
9781464230325,,COURT OF THE VAMPIRE QUEEN,Katee Robert,Sourcebooks Casablanca,Mina encounters three vampire men and weighs whether to face down her father.
9781250328137,,THE GREY WOLF,Louise Penny,Minotaur,The 19th book in the Chief Inspector Gamache series. Shifting alliances complicate the frenzied pursuit of a sinister threat.
9781638932352,,BUTCHER & BLACKBIRD,Brynne Weaver,Slowburn,A friendship between the rival murderers Sloane and Rowan develops into something more.
9780593719206,,CLIVE CUSSLER: DESOLATION CODE,Graham Brown,Putnam,The 21st book in the NUMA Files series. An A.I. system might be behind an attempt to create a new world order.
9780316418188,,1ST CASE,James Patterson and Chris Tebbetts,"Little, Brown","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer."
9781982104061,,NEAR DARK,Brad Thor,Emily Bestler/Atria,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative."
9781984804433,,SUCKER PUNCH,Laurell K. Hamilton,Berkley,"The 27th book in the Anita Blake, Vampire Hunter series. The evidence that a wereleopard killed his uncle doesn’t add up."
9781250313225,,HARROW THE NINTH,Tamsyn Muir,Tor.com,The second book of the Locked Tomb trilogy. Harrowhark Nonagesimus must overcome her failing health to become an angel of undeath.
9780062858108,,THE SILENT WIFE,Karin Slaughter,Morrow,The 10th book in the Will Trent series. Investigations of two crimes force Trent to call on his girlfriend's expertise as a medical examiner.
9780374194321,,LUSTER,Raven Leilani,"Farrar, Straus & Giroux",A young Brooklyn artist is invited to live with a New Jersey couple who have an open marriage and an adopted daughter.
9780525541608,,THE DEATH OF VIVEK OJI,Akwaeke Emezi,Riverhead,"In southern Nigeria, an act of violence comes out of the facets of a relationship between cousins Vivek and Osita."
9780062888341,,THE STRANGER IN THE LIFEBOAT,Mitch Albom,Harper,"After a ship explodes, 10 people struggling to survive pull a man who claims to be the Lord out of the sea."
9780593465066,,CALL US WHAT WE CARRY,Amanda Gorman,Viking,A debut collection of poems on identity and history by the presidential inaugural poet who wrote “The Hill We Climb.”
9781101885680,,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,Delacorte,"The ninth book in the Outlander series. As the Revolutionary War moves closer to Fraser’s Ridge, Claire and Jamie reunite with their daughter and her family."
9781984818416,,WISH YOU WERE HERE,Jodi Picoult,Ballantine,Diana O’Toole re-evaluates her seemingly perfect life when a pandemic disrupts her vacation in the Galápagos Islands.
9780316499149,,FEAR NO EVIL,James Patterson,"Little, Brown",The 29th book in the Alex Cross series. Cross fights the mastermind who has stalked him for years.
9781538719725,,MERCY,David Baldacci,Grand Central,The fourth book in the Atlee Pine series. Atlee discovers her twin sister survived an abduction at the age of 6.
9780316499675,,THE #1 LAWYER,James Patterson and Nancy Allen,"Little, Brown",A criminal defense attorney in Biloxi becomes the prime suspect in his wife’s murder.
9780063305649,,CLOSE TO DEATH,Anthony Horowitz,Harper,"The fifth book in the Hawthorne and Horowitz series. In a quiet community, a new resident is found with a crossbow bolt sticking out of his chest."
9780593871522,,RED RISING,Pierce Brown,Del Rey,"Darrow, a member of the lowest rung of a society on Mars in the future, mixes in with humanity’s overlords in the hopes of taking them down."
9781638933700,,LIGHTS OUT,Navessa Allen,Slowburn,"As Aly and Josh live out their dark fantasies, someone with sinister intentions impinges on them."
9781538758434,,THE PICASSO HEIST,James Patterson and Howard Roughan,"Little, Brown",A recently discovered $100 million painting piques the interest of a variety of people.
9780316567855,,THE ACADEMY,Elin Hilderbrand and Shelby Cunningham,"Little, Brown",Harmful rumors cause trouble for the students and staff at a New England boarding school.
9781649379290,,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders."
9780063439689,,BOLEYN TRAITOR,Philippa Gregory,Morrow,Jane Boleyn employs multiple tactics to survive in the Tudor court.
9781668095256,,CRY HAVOC,Jack Carr,Atria/Emily Bestler,"During a time of war and civil unrest in 1968, the Navy SEAL Tom Reece is given an unofficial and dangerous mission."
9798217090983,,STAR WARS: REVENGE OF THE SITH: EPISODE III,Matthew Stover,Random House Worlds,"A novelization of the final film in George Lucas’s ""Star Wars"" prequel trilogy."
9780316435291,,THE HEMLOCK QUEEN,Hannah Whitten,Orbit,"The second book in the Nightshade Crown series. As Bastian’s coronation approaches, Lore fights against a dark power and machinations in the court."
9781668010440,,DAUGHTER OF MINE,Megan Miranda,S&S/ Marysue Rucci,The daughter of a local detective inherits her family home as a drought comes upon the region.
